claim_id	claim_text	claim_type	asserted_by	first_seen_date	status	confidence	name_context_class	notes
claim-blanche-confirmed-ag-20260808	The Senate confirmed Todd Blanche as U.S. Attorney General on August 8, 2026 by a 50-49 vote.	timeline	NPR / Washington Post	2026-08-08	alleged	0.95	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo.
claim-phang-v-blanche-injunction-20260625	On June 25, 2026, Judge Emmet Sullivan granted a preliminary injunction in Phang v. Blanche ordering DOJ to unredact disputed Epstein records or justify each redaction.	legal	U.S. District Court for D.C. (reported)	2026-06-25	alleged	0.9	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo. Court docket entry not yet captured in raw/.
claim-sullivan-sept24-deadline-20260916	On September 16, 2026, Judge Sullivan set a September 24 deadline for DOJ to produce disputed Epstein records or explain why his orders were not clear, and said a contempt finding would be premature at that juncture.	legal	The Hill	2026-09-16	alleged	0.88	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo.
claim-preska-efta-overrides-sealing-20260811	On August 11, 2026, Judge Loretta Preska ruled the Epstein Files Transparency Act overrides earlier sealing orders, grand-jury secrecy, and Ghislaine Maxwell's privacy claims, clearing additional records for release.	legal	Bloomberg	2026-08-11	alleged	0.88	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo.
claim-doj-oig-efta-audit-20260423	The DOJ Office of the Inspector General announced in April 2026 an audit of DOJ compliance with the Epstein Files Transparency Act.	procedural	UPI / The Hill	2026-04-23	alleged	0.9	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo. OIG ongoing-work listing not yet captured in raw/.
claim-gao-redaction-review-20260428	The Government Accountability Office agreed in late April 2026 to review DOJ's handling of redactions in the Epstein files.	procedural	Washington Post / NBC	2026-04-28	alleged	0.88	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo.
claim-hr9694-efta2-introduced-20260715	H.R. 9694, the Epstein Files Transparency Act II, was introduced in the House in July 2026 by Reps. Massie, Khanna, and Leger Fernandez.	legal	Congress.gov / Rep. Massie	2026-07-15	verified_primary	0.96	administrative_mention	Verified by bill text on Congress.gov and sponsor release.
claim-efta2-discharge-218-20260918	Reps. Massie and Khanna said on September 18, 2026 that the discharge petition for the Epstein Files Transparency Act II had reached 218 signatures.	procedural	Axios	2026-09-18	alleged	0.88	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo. House Clerk discharge-petition record not yet captured in raw/.
claim-hr10389-svpa-introduced-20260916	House Oversight Chairman James Comer introduced the Survivor's Voice Protection Act (H.R. 10389) on September 16, 2026.	legal	House Oversight Committee	2026-09-16	verified_primary	0.95	administrative_mention	Verified by committee press release.
claim-hr10397-srra-introduced-20260915	The Survivors' Rights Restitution Act (H.R. 10397) was introduced in the House on September 15, 2026.	legal	GovInfo	2026-09-15	verified_primary	0.96	administrative_mention	Verified by GovInfo bill record.
claim-sres608-maxwell-clemency-20260729	The Senate adopted S.Res.608 by unanimous consent on July 29, 2026, expressing that Ghislaine Maxwell should not receive a pardon or clemency.	legal	Congress.gov	2026-07-29	verified_primary	0.95	administrative_mention	Verified by Congress.gov resolution record; Axios corroborates date.
claim-oversight-gates-groff-transcripts-20260623	The House Oversight Committee released transcripts of its June 2026 interviews with Lesley Groff and Bill Gates.	procedural	House Oversight Committee	2026-06-23	verified_primary	0.96	administrative_mention	Verified by committee release and transcript PDFs.
claim-oversight-black-band-transcripts-2026	The House Oversight Committee released transcripts of Leon Black's June 26, 2026 and Doug Band's June 30, 2026 transcribed interviews.	procedural	House Oversight Committee	2026-07-17	verified_primary	0.94	administrative_mention	Verified by committee release and Black transcript PDF.
claim-oversight-staley-transcript-20260826	The House Oversight Committee released a redacted transcript of Jes Staley's July 24, 2026 transcribed interview in late August 2026.	procedural	House Oversight Committee	2026-08-26	verified_primary	0.95	administrative_mention	Verified by committee release and transcript PDF dated 8.26.26.
claim-oversight-doj-referral-request-20260604	House Oversight Chairman James Comer and Republican members asked DOJ on June 4, 2026 to investigate allegations Sarah Kellen made in her transcribed interview against two men, both of whom deny the allegations.	procedural	House Oversight Committee	2026-06-04	verified_primary	0.92	unverified_allegation	Verified that the request was made (committee release). The underlying allegations are unverified and denied.
claim-house-black-contempt-20260916	The House voted on September 16, 2026 to hold Leon Black in contempt of Congress for defying House Oversight subpoenas in its Epstein investigation.	procedural	NPR / CNBC / PBS	2026-09-16	alleged	0.93	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo. House roll-call/resolution record not yet captured in raw/.
claim-wsj-executors-sdny-probe-20260923	The Wall Street Journal reported on September 23, 2026 that federal prosecutors in Manhattan are investigating Epstein estate executors Darren Indyke and Richard Kahn; both deny wrongdoing and no charges have been filed.	factual	Wall Street Journal (via CNBC/Forbes)	2026-09-23	alleged	0.8	media_reference	Single-outlet report relayed by others; DOJ has not confirmed. Recorded as alleged.
claim-maxwell-postconviction-denied-20260825	Judge Paul Engelmayer denied Ghislaine Maxwell's pro se petition to vacate her conviction in an order made public on August 25, 2026.	legal	Axios / Reuters	2026-08-25	alleged	0.92	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo. Opinion PDF not yet captured in raw/.
claim-purported-note-unsealed-20260506	A federal judge unsealed on May 6, 2026 a purported note that Nicholas Tartaglione says he found in July 2019; the court did not assess its authenticity.	procedural	Reuters / NPR	2026-05-06	alleged	0.9	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo. Authenticity of the note itself is unestablished.
claim-nm-sues-doj-records-202608	New Mexico's Department of Justice sued the U.S. Department of Justice in August 2026 seeking unredacted Epstein investigative files for its Zorro Ranch criminal probe.	legal	New Mexico Department of Justice	2026-08-05	verified_primary	0.94	administrative_mention	Verified by NMDOJ press release; Courthouse News corroborates.
claim-nm-truth-commission-interim-20260805	New Mexico's Survivors' Truth Commission released a 119-page interim report on August 5, 2026 that assembles evidence on Zorro Ranch but makes no final findings of wrongdoing.	procedural	New Mexico Legislature	2026-08-05	verified_primary	0.93	administrative_mention	Verified by interim report PDF on nmlegis.gov; Source NM corroborates page count and scope.
claim-wyden-bank-report-20260804	Senate Finance Committee Ranking Member Ron Wyden released a report on August 4, 2026 alleging JPMorgan, Bank of America, and Deutsche Bank failed to timely report suspicious Epstein transactions.	factual	Senate Finance Committee (minority)	2026-08-04	verified_primary	0.93	administrative_mention	Verified that the report was released and what it alleges (Senate Finance release). Bank conduct findings are the report's allegations.
claim-bofa-settlement-final-approval-20260827	A federal judge gave final approval on August 27, 2026 to Bank of America's $72.5 million class settlement with Epstein accusers.	legal	Reuters / ABC	2026-08-27	alleged	0.93	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo. Final approval order not yet captured in raw/.
claim-hyatt-pritzker-retired-20260216	Hyatt announced on February 16, 2026 that Thomas J. Pritzker retired as executive chairman effective immediately and would not seek re-election to the board.	timeline	Hyatt Hotels Corporation	2026-02-16	verified_primary	0.98	administrative_mention	Verified by Hyatt's own release. Corrects earlier repo text that described a step-down at the end of 2026.
claim-goldman-ruemmler-8k-2026	Goldman Sachs disclosed in an SEC Form 8-K that Kathryn Ruemmler determined to retire as its chief legal officer and general counsel.	procedural	Goldman Sachs (SEC filing)	2026-03-09	verified_primary	0.95	administrative_mention	Verified by SEC EDGAR 8-K.
claim-storting-epstein-commission-20260415	Norway's Storting resolved on April 15, 2026 to appoint a commission of enquiry into questions raised by the Epstein files; the commission first met on May 5, 2026.	procedural	Stortinget	2026-04-15	verified_primary	0.95	administrative_mention	Verified by Stortinget news item.
claim-gates-foundation-review-20260721	The Gates Foundation's external review summary, released July 21, 2026, reported no evidence that the foundation made payments to Epstein.	factual	Gates Foundation	2026-07-21	verified_primary	0.9	administrative_mention	Verified that the foundation published this finding; the review is commissioned by the foundation itself.
claim-andrew-arrested-20260219	Thames Valley Police arrested Andrew Mountbatten-Windsor on February 19, 2026 on suspicion of misconduct in public office and released him under investigation.	timeline	NPR / CBS	2026-02-19	alleged	0.95	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo. Police statement not yet captured in raw/. No charges as of 2026-09-23.
claim-mandelson-arrested-20260223	The Metropolitan Police arrested Peter Mandelson on February 23, 2026 on suspicion of misconduct in public office; he was later released under investigation.	timeline	CNN / ITV	2026-02-23	alleged	0.94	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo. No charges as of 2026-09-23.
claim-starmer-resignation-20260622	UK Prime Minister Keir Starmer announced his resignation on June 22, 2026 amid fallout over his appointment of Peter Mandelson as ambassador.	timeline	CNN / Al Jazeera	2026-06-22	alleged	0.93	media_reference	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo.
claim-european-mla-unanswered-20260909	The Washington Post reported on September 9, 2026 that investigators in Poland, Norway, and Latvia said DOJ had not answered their mutual legal assistance requests; DOJ said it had not refused any jurisdiction.	factual	Washington Post	2026-09-09	alleged	0.85	media_reference	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo.
claim-siad-found-dead-20260720	French model scout Daniel Siad, who was under French investigation over alleged recruitment for Epstein, was found dead at his home near Paris on July 20, 2026; the cause of death was under investigation.	timeline	CNN / Al Jazeera	2026-07-20	alleged	0.9	media_reference	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo.
