run_utc	claim_id	redaction_category	category_definition	claim_status	name_context_class	claim_text
20260924T223228Z	claim-preska-efta-overrides-sealing-20260811	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	On August 11, 2026, Judge Loretta Preska ruled the Epstein Files Transparency Act overrides earlier sealing orders, grand-jury secrecy, and Ghislaine Maxwell's privacy claims, clearing additional records for release.
20260924T223228Z	claim-doj-oig-efta-audit-20260423	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	The DOJ Office of the Inspector General announced in April 2026 an audit of DOJ compliance with the Epstein Files Transparency Act.
20260924T223228Z	claim-gao-redaction-review-20260428	context_gap	Name/context mismatch where list-level references lack per-name context.	alleged	administrative_mention	The Government Accountability Office agreed in late April 2026 to review DOJ's handling of redactions in the Epstein files.
20260924T223228Z	claim-hr9694-efta2-introduced-20260715	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	H.R. 9694, the Epstein Files Transparency Act II, was introduced in the House in July 2026 by Reps. Massie, Khanna, and Leger Fernandez.
20260924T223228Z	claim-efta2-discharge-218-20260918	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	Reps. Massie and Khanna said on September 18, 2026 that the discharge petition for the Epstein Files Transparency Act II had reached 218 signatures.
20260924T223228Z	claim-hr10389-svpa-introduced-20260916	victim_privacy	Redactions intended to protect survivor/victim identity.	verified_primary	administrative_mention	House Oversight Chairman James Comer introduced the Survivor's Voice Protection Act (H.R. 10389) on September 16, 2026.
20260924T223228Z	claim-hr10397-srra-introduced-20260915	victim_privacy	Redactions intended to protect survivor/victim identity.	verified_primary	administrative_mention	The Survivors' Rights Restitution Act (H.R. 10397) was introduced in the House on September 15, 2026.
20260924T223228Z	claim-sres608-maxwell-clemency-20260729	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	The Senate adopted S.Res.608 by unanimous consent on July 29, 2026, expressing that Ghislaine Maxwell should not receive a pardon or clemency.
20260924T223228Z	claim-oversight-gates-groff-transcripts-20260623	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	The House Oversight Committee released transcripts of its June 2026 interviews with Lesley Groff and Bill Gates.
20260924T223228Z	claim-oversight-black-band-transcripts-2026	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	The House Oversight Committee released transcripts of Leon Black's June 26, 2026 and Doug Band's June 30, 2026 transcribed interviews.
20260924T223228Z	claim-oversight-staley-transcript-20260826	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	The House Oversight Committee released a redacted transcript of Jes Staley's July 24, 2026 transcribed interview in late August 2026.
20260924T223228Z	claim-oversight-doj-referral-request-20260604	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	unverified_allegation	House Oversight Chairman James Comer and Republican members asked DOJ on June 4, 2026 to investigate allegations Sarah Kellen made in her transcribed interview against two men, both of whom deny the allegations.
20260924T223228Z	claim-house-black-contempt-20260916	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	The House voted on September 16, 2026 to hold Leon Black in contempt of Congress for defying House Oversight subpoenas in its Epstein investigation.
20260924T223228Z	claim-wsj-executors-sdny-probe-20260923	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	The Wall Street Journal reported on September 23, 2026 that federal prosecutors in Manhattan are investigating Epstein estate executors Darren Indyke and Richard Kahn; both deny wrongdoing and no charges have been filed.
20260924T223228Z	claim-maxwell-postconviction-denied-20260825	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	Judge Paul Engelmayer denied Ghislaine Maxwell's pro se petition to vacate her conviction in an order made public on August 25, 2026.
20260924T223228Z	claim-purported-note-unsealed-20260506	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	A federal judge unsealed on May 6, 2026 a purported note that Nicholas Tartaglione says he found in July 2019; the court did not assess its authenticity.
20260924T223228Z	claim-nm-sues-doj-records-202608	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	New Mexico's Department of Justice sued the U.S. Department of Justice in August 2026 seeking unredacted Epstein investigative files for its Zorro Ranch criminal probe.
20260924T223228Z	claim-nm-truth-commission-interim-20260805	victim_privacy	Redactions intended to protect survivor/victim identity.	verified_primary	administrative_mention	New Mexico's Survivors' Truth Commission released a 119-page interim report on August 5, 2026 that assembles evidence on Zorro Ranch but makes no final findings of wrongdoing.
20260924T223228Z	claim-wyden-bank-report-20260804	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Senate Finance Committee Ranking Member Ron Wyden released a report on August 4, 2026 alleging JPMorgan, Bank of America, and Deutsche Bank failed to timely report suspicious Epstein transactions.
20260924T223228Z	claim-bofa-settlement-final-approval-20260827	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	A federal judge gave final approval on August 27, 2026 to Bank of America's $72.5 million class settlement with Epstein accusers.
20260924T223228Z	claim-hyatt-pritzker-retired-20260216	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Hyatt announced on February 16, 2026 that Thomas J. Pritzker retired as executive chairman effective immediately and would not seek re-election to the board.
20260924T223228Z	claim-goldman-ruemmler-8k-2026	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Goldman Sachs disclosed in an SEC Form 8-K that Kathryn Ruemmler determined to retire as its chief legal officer and general counsel.
20260924T223228Z	claim-storting-epstein-commission-20260415	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Norway's Storting resolved on April 15, 2026 to appoint a commission of enquiry into questions raised by the Epstein files; the commission first met on May 5, 2026.
20260924T223228Z	claim-gates-foundation-review-20260721	context_gap	Name/context mismatch where list-level references lack per-name context.	verified_primary	administrative_mention	The Gates Foundation's external review summary, released July 21, 2026, reported no evidence that the foundation made payments to Epstein.
20260924T223228Z	claim-andrew-arrested-20260219	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	Thames Valley Police arrested Andrew Mountbatten-Windsor on February 19, 2026 on suspicion of misconduct in public office and released him under investigation.
20260924T223228Z	claim-mandelson-arrested-20260223	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	The Metropolitan Police arrested Peter Mandelson on February 23, 2026 on suspicion of misconduct in public office; he was later released under investigation.
20260924T223228Z	claim-starmer-resignation-20260622	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	UK Prime Minister Keir Starmer announced his resignation on June 22, 2026 amid fallout over his appointment of Peter Mandelson as ambassador.
20260924T223228Z	claim-european-mla-unanswered-20260909	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	The Washington Post reported on September 9, 2026 that investigators in Poland, Norway, and Latvia said DOJ had not answered their mutual legal assistance requests; DOJ said it had not refused any jurisdiction.
20260924T223228Z	claim-siad-found-dead-20260720	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	French model scout Daniel Siad, who was under French investigation over alleged recruitment for Epstein, was found dead at his home near Paris on July 20, 2026; the cause of death was under investigation.
20260924T223228Z	claim-bard-botstein-retirement-20260501	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Bard College president Leon Botstein announced on May 1, 2026 that he would retire effective June 30, 2026, after a WilmerHale review commissioned by Bard's trustees examined his relationship with Epstein; the review found nothing illegal but said his decisions reflect on his leadership.
20260924T223228Z	claim-columbia-dental-officials-20260211	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Columbia University said on February 11, 2026 that a College of Dental Medicine student linked to Epstein was admitted in 2012 through an irregular process coinciding with fundraising solicitations, and that it removed Thomas Magnani from admissions and volunteer roles while Letty Moss-Salentijn stepped down from administrative roles.
20260924T223228Z	claim-columbia-axel-steps-down-20260224	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Columbia University announced on February 24, 2026 that Nobel laureate Richard Axel would step down as co-director of the Zuckerman Mind Brain Behavior Institute; Columbia said he had not broken university policy or law.
20260924T223228Z	claim-raskin-university-inquiry-20260617	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	House Judiciary Committee Democrats led by Ranking Member Jamie Raskin sent letters on June 17, 2026 to Harvard and Bard requesting Epstein-related records, extending a January inquiry to Columbia and NYU.
20260924T223228Z	claim-oversight-dershowitz-sep2-request-20260721	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	House Oversight Chairman James Comer wrote to Alan Dershowitz on July 21, 2026 requesting a videotaped transcribed interview on September 2, 2026 after Dershowitz did not appear for a July 20 interview, and warned the committee could use compulsory process.
20260924T223228Z	claim-juul-steps-down-ambassador-20260208	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Norway's government announced that Mona Juul stepped down as ambassador on February 8, 2026 amid scrutiny of her contacts with Epstein.
20260924T223228Z	claim-juul-rodlarsen-charged-20260209	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	Norway's Okokrim charged diplomat Mona Juul with aggravated corruption and her husband Terje Rod-Larsen with complicity in aggravated corruption on February 9, 2026.
20260924T223228Z	claim-jagland-charged-20260212	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	The Council of Europe waived Thorbjorn Jagland's immunity on February 11, 2026, and Okokrim charged him with aggravated corruption on February 12, 2026; he denies the charges.
20260924T223228Z	claim-norway-france-jit-20260427	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	Norwegian and French investigators formed a joint investigation team in late April 2026 covering the case against Mona Juul and Terje Rod-Larsen.
20260924T223228Z	claim-doj-declined-more-files-20260702	context_gap	Name/context mismatch where list-level references lack per-name context.	alleged	media_reference	At the July 2, 2026 injunction deadline in Phang v. Blanche, DOJ declined to produce additional unredacted records, defended its redactions, and asked the court for 60 more days or to accept its reasons.
20260924T223228Z	claim-sullivan-jane-doe4-notes-20260916	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	On September 16, 2026 Judge Emmet Sullivan ordered DOJ to give the court, for private review, redacted and unredacted handwritten notes from four 2019 FBI interviews of a woman identified as Jane Doe 4 by 11 a.m. on September 24, and declined to stay the order pending appeal.
20260924T223228Z	claim-doj-appeal-stay-motion-20260922	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	DOJ filed a notice of appeal of Judge Sullivan's September 16, 2026 order on September 17 and on September 22 asked the D.C. Circuit (No. 26-5299) to stay the foreign-language-records portions of the June 25 and September 16 orders and to expedite the appeal.
20260924T223228Z	claim-survivors-sue-doj-google-20260326	victim_privacy	Redactions intended to protect survivor/victim identity.	alleged	media_reference	Epstein survivors filed a proposed class action in the Northern District of California on March 26, 2026 against DOJ and Google, alleging the file releases exposed about 100 survivors' personal information and that Google kept republishing it.
20260924T223228Z	claim-fbi-negligence-suit-rr-20260818	victim_privacy	Redactions intended to protect survivor/victim identity.	alleged	media_reference	On August 18, 2026 Magistrate Judge Ryon McCabe recommended that survivors' Federal Tort Claims Act negligence suit against the FBI, seeking about $320 million, proceed to 90 days of limited discovery.
20260924T223228Z	claim-kamen-resigns-first-board-20260312	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	Dean Kamen resigned from the FIRST board of directors on March 12, 2026; FIRST's board chair said its independent review found no evidence of misconduct.
20260924T223228Z	claim-yale-gelernter-review-2026	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	Yale University barred computer science professor David Gelernter from teaching in February 2026 pending a conduct review of his emails with Epstein; in September 2026 Yale said the review was continuing and he would not teach in the fall.
20260924T223228Z	claim-osu-landon-final-report-20260623	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	Ohio State University's final report released June 23, 2026 found that Dr. Mark Landon was not aware of or involved in Epstein's crimes but likely violated university policy by not reporting or getting approval for outside consulting work.
20260924T223228Z	claim-nm-truth-commission-final-due-20261231	victim_privacy	Redactions intended to protect survivor/victim identity.	alleged	media_reference	New Mexico's Survivors' Truth Commission said its interim report found evidence supporting reports of sexual abuse of at least five women and girls at Zorro Ranch between 1996 and 2012, and that its final report is due December 31, 2026.
20260924T223228Z	claim-massie-floor-list-20260831	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	unverified_allegation	Rep. Thomas Massie named 14 people on the House floor on August 31, 2026 whom he said should be investigated in connection with Epstein; the list is a floor allegation protected by the Speech or Debate Clause, not a charge, and those who have responded deny wrongdoing.
20260924T223228Z	claim-firstbank-suit-20260624	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	A proposed class action filed June 24, 2026 in the Southern District of New York alleges FirstBank Puerto Rico maintained accounts for Epstein and related entities from 1998 to 2020; First BanCorp said it categorically denies the claims.
20260924T223228Z	claim-apollo-suits-consolidated-2026	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Two shareholder class actions against Apollo Global Management, Marc Rowan, and Leon Black over statements about Epstein (filed March 2 and April 29, 2026) were consolidated in the Southern District of New York, with lead-plaintiff motions pending.
20260924T223228Z	claim-wexner-suit-dismissed-20260901	victim_privacy	Redactions intended to protect survivor/victim identity.	alleged	media_reference	Survivors' consolidated federal suit against Les Wexner and the Wexner Foundation was voluntarily dismissed without prejudice on September 1, 2026 amid a dispute over federal jurisdiction.
20260924T223228Z	claim-christiansen-v-indyke-20260819	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	Six women sued Epstein's estate and co-executors Darren Indyke and Richard Kahn in New York state court on August 19, 2026 under New York City's Gender-Motivated Violence Act.
20260924T223228Z	claim-fekkai-suit-20260901	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	unverified_allegation	Seven women sued hairstylist Frederic Fekkai in New York state court on September 1, 2026 over his salon's alleged role in grooming young women for Epstein; Fekkai denies the allegations.
20260924T223228Z	claim-estate-image-collection-suit-2026	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	Two women filed a proposed class action against Epstein's estate in the Southern District of New York in mid-September 2026 on behalf of people pictured in his seized collection of child sexual abuse material, seeking at least $6 million and a notification program.
20260924T223228Z	claim-nyc-gmva-lookback-20260129	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	New York City reopened expired Gender-Motivated Violence Act claims when the City Council overrode a mayoral veto on January 29, 2026, creating a window that runs to about July 2027.
20260924T223228Z	claim-rome-prosecutors-inquiry-20260905	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	Rome prosecutors opened a sexual-violence file against unknown persons concerning possible Italian links to Epstein and sent a letter rogatory to DOJ, as reported on September 5, 2026.
20260924T223228Z	claim-uk-no-public-inquiry-20260805	victim_privacy	Redactions intended to protect survivor/victim identity.	alleged	media_reference	On August 5, 2026 Downing Street said the UK government was not actively considering a public inquiry into Epstein, after the victims minister said Prime Minister Burnham was looking into one.
20260924T223228Z	claim-nydoh-doctors-review-20260825	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	New York's Department of Health said on August 25, 2026 that allegations about doctors connected to Epstein were deeply troubling and warranted review; it did not name anyone.
20260924T223228Z	claim-mount-sinai-review-2026	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	Mount Sinai Health System formed a board committee in late February 2026 to review its ties to Epstein; CNN reported in May that DOJ records show Epstein received preferential treatment there.
20260924T223228Z	claim-kruger-clinics-20260307	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	Epstein physician Bernard Kruger stepped away from roles at two concierge medical practices in March 2026; Sollis Health put him on board leave pending an external review.
20260924T223228Z	claim-nfl-tisch-no-violation-202603	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	NFL Commissioner Roger Goodell said in late March 2026 that the league had found no personal-conduct violation by Steve Tisch, who is no longer a Giants owner after moving his stake into his children's trusts.
20260924T223228Z	claim-clayton-dni-sworn-20260803	national_security	Redactions justified as intelligence/national-security sensitive.	verified_primary	administrative_mention	Jay Clayton, who as U.S. Attorney for the Southern District of New York was assigned in November 2025 to lead the Trump-requested Epstein investigation, was sworn in as Director of National Intelligence on August 3, 2026.
20260924T223228Z	claim-sdny-mcdonald-20260729	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Jamie McDonald assumed the role of U.S. Attorney for the Southern District of New York on July 29, 2026, succeeding Jay Clayton.
20260924T223228Z	claim-trump-probe-democrats-20251114	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	On November 14, 2025 President Trump asked DOJ to investigate Epstein's ties to Bill Clinton, Larry Summers, Reid Hoffman, and JPMorgan Chase, and Attorney General Bondi assigned Jay Clayton to lead the inquiry; no charges or findings had been reported as of September 24, 2026.
20260924T223228Z	claim-maurene-comey-suit-proceeds-20260428	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	Judge Jesse Furman ruled on April 28, 2026 that fired Epstein and Maxwell prosecutor Maurene Comey's wrongful-termination suit can proceed in federal court.
20260924T223228Z	claim-plaskett-censure-failed-20251118	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	The House rejected a resolution to censure Del. Stacey Plaskett over texting Epstein during a February 2019 hearing by a vote of 209-214 on November 18, 2025.
20260924T223228Z	claim-plaskett-gov-primary-202608	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	Stacey Plaskett won the Democratic primary for governor of the U.S. Virgin Islands in August 2026 with about 48% of the vote.
20260924T223228Z	claim-bop-maxwell-letters-2026	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Reps. Ross, Raskin, and Khanna wrote to the Bureau of Prisons on March 2, 2026 about who authorized Ghislaine Maxwell's transfer to a minimum-security camp and on June 12, 2026 about a new policy letting the attorney general designate a prisoner's placement.
20260924T223228Z	claim-king-charles-declined-survivors-202604	victim_privacy	Redactions intended to protect survivor/victim identity.	alleged	media_reference	King Charles III's lawyers declined Rep. Ro Khanna's request that the king meet Epstein survivors during his April 2026 U.S. state visit, citing an ongoing investigation.
20260924T223228Z	claim-nm-preservation-letters-20260515	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	New Mexico's Department of Justice sent letters dated May 15, 2026 asking dozens of companies, including JPMorgan Chase, Deutsche Bank, Apple, Google, and several airlines, to preserve records tied to Epstein and Maxwell.
20260924T223228Z	claim-un-experts-epstein-2026	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	UN human rights experts said in February 2026 that allegations in the Epstein files may meet the threshold of crimes against humanity and in April 2026 called for a full and transparent investigation of alleged trafficking.
20260924T223228Z	claim-bloomberg-flight-bookings-20260724	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	A Bloomberg analysis published July 24, 2026 found Epstein's staff booked more than 3,700 commercial flights between 2009 and 2019, with no identifiable passenger in more than 1,700 records.
20260924T223228Z	claim-wolff-suit-dismissed-20260522	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	Judge Mary Kay Vyskocil dismissed Michael Wolff's preemptive suit against Melania Trump on May 22, 2026, calling it bad-faith forum shopping.
20260924T223228Z	claim-regime-change-sitroom-202606	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	The book Regime Change by Maggie Haberman and Jonathan Swan reported that White House aides held Situation Room meetings in July 2025 on managing the Epstein files and that Vice President Vance proposed a Tucker Carlson interview of Ghislaine Maxwell.
20260924T223228Z	claim-bin-sulayem-mmc-202607	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	Former DP World chief Sultan Ahmed bin Sulayem became executive chairman of Malaysia's MMC Port Holdings in July 2026, prompting 31 civil-society groups to urge that the appointment be revoked.
20260924T223228Z	claim-joi-ito-digital-garage-202602	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	Digital Garage announced in late February 2026 that Joi Ito would retire as senior managing executive officer on March 31 and leave its board at the June shareholders' meeting, citing a scheduled term expiration.
20260924T223228Z	claim-coe-rapporteur-jagland-2026	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	By May 2026 Swedish MP Gustaf Göthberg had been appointed a Parliamentary Assembly of the Council of Europe rapporteur to examine Epstein's network and its links to former Secretary General Thorbjorn Jagland.
20260924T223228Z	claim-s5005-efta2-senate-20260715	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	S. 5005, the Senate version of the Epstein Files Transparency Act II, was introduced on July 15, 2026 by Sen. Jeff Merkley for himself and Sen. Ben Ray Lujan and referred to the Senate Judiciary Committee.
20260924T223228Z	claim-melania-sanctions-motion-20260721	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	On July 21, 2026 Melania Trump moved for sanctions against author Michael Wolff after Judge Mary Kay Vyskocil dismissed his preemptive anti-SLAPP suit; the judge had cautioned against the motion on July 1, and no ruling had been reported as of September 24, 2026.
20260924T223228Z	claim-brazil-mpf-epstein-inquiry-20260210	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	Brazil's Federal Public Prosecutor's Office opened a confidential procedure on February 10, 2026 to examine whether Brazilian women were recruited for Jeffrey Epstein; no public result had been reported as of September 24, 2026.
20260924T223228Z	claim-harvard-hms-donor-rating-20260501	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	The Harvard Crimson reported on May 1, 2026 that Harvard Medical School gave Epstein a $75 million active donor rating in July 2012 and that Harvard mailed him personalized endowment updates from 2009 through 2018, items not discussed in Harvard's 2020 review.
20260924T223228Z	claim-harvard-affiliates-open-letter-20260723	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	On July 23, 2026, 156 Harvard affiliates published an open letter calling for an independent investigation of Harvard's Epstein ties and consequences for people who legitimized Epstein after his 2008 conviction.
20260924T223228Z	claim-wexner-osu-board-chair-20260901	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	At a September 1, 2026 meeting, his first since May 2025, Les Wexner said he would step down as chair of the Ohio State University Wexner Medical Center board while remaining a member; Ohio State had received more than 500 requests to remove his name from campus buildings.
20260924T223228Z	claim-survivors-sotu-guests-20260224	victim_privacy	Redactions intended to protect survivor/victim identity.	alleged	media_reference	Epstein survivors and relatives attended President Trump's February 24, 2026 State of the Union address as guests of Democratic members of Congress.
20260924T223228Z	claim-reading-room-nyc-20260508	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	The Institute for Primary Facts opened a reading room in New York displaying all 3,437 bound volumes of the released Epstein files from May 8 to May 21, 2026, and began a national tour in Dallas in September.
20260924T223228Z	claim-mcsweeney-resigns-20260208	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	Morgan McSweeney resigned as UK Prime Minister Keir Starmer's chief of staff on February 8, 2026, taking responsibility for advising the appointment of Peter Mandelson as ambassador to the United States.
