run_utc	claim_id	claim_status	claim_type	name_context_class	asserted_by	first_seen_date	confidence	claim_text	related_source_urls	gap_reason
20260924T162139Z	claim-epstein-nobel-outreach-ap	alleged	factual	media_reference	AP	2026-02-14	0.90	AP reported file excerpts described Epstein referencing Nobel committee leadership in outreach messages to high-profile contacts.	https://apnews.com/article/epstein-nobel-jagland-branson-summers-bannon-trump-a947bbf2bd307658014862d01517d21f	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-european-mla-unanswered-20260909	alleged	factual	media_reference	Washington Post	2026-09-09	0.85	The Washington Post reported on September 9, 2026 that investigators in Poland, Norway, and Latvia said DOJ had not answered their mutual legal assistance requests; DOJ said it had not refused any jurisdiction.	https://www.forbes.com/sites/alisondurkee/2026/09/09/doj-so-far-isnt-helping-european-countries-investigate-epstein-officials-say/, https://www.washingtonpost.com/world/2026/09/09/europeans-investigating-epstein-say-doj-has-not-agreed-requests-help/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-fbi-negligence-suit-rr-20260818	alleged	procedural	media_reference	Courthouse News / Law Commentary	2026-08-18	0.86	On August 18, 2026 Magistrate Judge Ryon McCabe recommended that survivors' Federal Tort Claims Act negligence suit against the FBI, seeking about $320 million, proceed to 90 days of limited discovery.	https://www.courthousenews.com/epstein-victims-suit-against-fbi-poised-to-survive-dismissal-for-now/, https://www.lawcommentary.com/articles/jeffrey-epstein-survivors-320-million-fbi-negligence-lawsuit-moves-closer-to-surviving-dismissal	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-house-black-contempt-20260916	alleged	procedural	administrative_mention	NPR / CNBC / PBS	2026-09-16	0.93	The House voted on September 16, 2026 to hold Leon Black in contempt of Congress for defying House Oversight subpoenas in its Epstein investigation.	https://www.cnbc.com/2026/09/16/leon-black-contempt-house-epstein-subpoenas-refusal.html, https://www.npr.org/2026/09/16/nx-s1-5954258/leon-black-jeffrey-epstein-contempt-congress	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-jagland-charged-20260212	alleged	timeline	media_reference	News in English / CNN	2026-02-12	0.9	The Council of Europe waived Thorbjorn Jagland's immunity on February 11, 2026, and Okokrim charged him with aggravated corruption on February 12, 2026; he denies the charges.	https://www.cnn.com/2026/02/13/europe/norway-pm-jagland-charged-epstein-ties-intl-hnk, https://www.newsinenglish.no/2026/02/12/jagland-also-charged-with-corruption/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-juul-rodlarsen-charged-20260209	alleged	timeline	media_reference	News in English / Newsweek	2026-02-09	0.88	Norway's Okokrim charged diplomat Mona Juul with aggravated corruption and her husband Terje Rod-Larsen with complicity in aggravated corruption on February 9, 2026.	https://www.newsinenglish.no/2026/02/08/top-diplomats-dramatic-decline/, https://www.newsweek.com/son-of-epstein-associate-under-investigation-dies-by-suicide-11899731	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-kamen-resigns-first-board-20260312	alleged	timeline	media_reference	NHPR / Concord Monitor	2026-03-12	0.88	Dean Kamen resigned from the FIRST board of directors on March 12, 2026; FIRST's board chair said its independent review found no evidence of misconduct.	https://www.concordmonitor.com/2026/03/12/epstein-ties-lead-to-kamen-resignation/, https://www.nhpr.org/nh-news/2026-03-12/dean-kamen-resigns-first-epstein-nh-newhampshire	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-lifetouch-school-cancellations	alleged	timeline	media_reference	AP	2026-02-14	0.88	AP reported some U.S. school districts paused or canceled Lifetouch sessions after viral posts made Epstein-related allegations.	https://apnews.com/article/jeffrey-epstein-lifetouch-school-pictures-leon-black-c08e0563f5acd4097bee37225cb33463	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-lutnick-meetings-acknowledged-ap	alleged	factual	media_reference	AP	2026-02-11	0.90	AP reported Howard Lutnick acknowledged pre-government meetings with Epstein and that prior denials were inaccurate.	https://apnews.com/article/epstein-howard-lutnick-trump-administration-2ead9f28f66e0df4da8f8e2d266ebe4f	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-mandelson-arrested-20260223	alleged	timeline	administrative_mention	CNN / ITV	2026-02-23	0.94	The Metropolitan Police arrested Peter Mandelson on February 23, 2026 on suspicion of misconduct in public office; he was later released under investigation.	https://www.cnn.com/2026/02/23/uk/peter-mandelson-arrested-gbr-intl, https://www.itv.com/news/2026-03-06/lord-mandelson-no-longer-on-bail-as-hes-released-under-investigation-by-police	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-maxwell-postconviction-denied-20260825	alleged	legal	administrative_mention	Axios / Reuters	2026-08-25	0.92	Judge Paul Engelmayer denied Ghislaine Maxwell's pro se petition to vacate her conviction in an order made public on August 25, 2026.	https://www.axios.com/2026/08/25/ghislaine-maxwells-bid-to-overturn-conviction-rejected, https://www.usnews.com/news/world/articles/2026-08-25/ghislaine-maxwell-loses-bid-to-throw-out-conviction-for-aiding-jeffrey-epstein	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-nm-truth-commission-final-due-20261231	alleged	factual	media_reference	Source NM / KOB	2026-08-05	0.84	New Mexico's Survivors' Truth Commission said its interim report found evidence supporting reports of sexual abuse of at least five women and girls at Zorro Ranch between 1996 and 2012, and that its final report is due December 31, 2026.	https://sourcenm.com/2026/08/05/new-mexico-epstein-commission-releases-report-on-investigation-so-far/, https://www.kob.com/new-mexico/new-mexicos-epstein-commission-releases-initial-report/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-norway-france-jit-20260427	alleged	procedural	media_reference	Euronews / The Local Norway	2026-04-27	0.86	Norwegian and French investigators formed a joint investigation team in late April 2026 covering the case against Mona Juul and Terje Rod-Larsen.	https://www.euronews.com/my-europe/2026/04/27/norway-and-france-launch-joint-police-probe-into-diplomats-alleged-links-with-epstein, https://www.thelocal.no/20260428/norway-police-cooperate-with-france-on-epstein-probe	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-osu-landon-final-report-20260623	alleged	timeline	media_reference	WOSU	2026-06-23	0.84	Ohio State University's final report released June 23, 2026 found that Dr. Mark Landon was not aware of or involved in Epstein's crimes but likely violated university policy by not reporting or getting approval for outside consulting work.	https://www.wosu.org/news/2026-06-23/ohio-state-releases-final-report-on-wexner-medical-center-doctor-named-in-epstein-files	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-phang-v-blanche-injunction-20260625	alleged	legal	administrative_mention	U.S. District Court for D.C. (reported)	2026-06-25	0.9	On June 25, 2026, Judge Emmet Sullivan granted a preliminary injunction in Phang v. Blanche ordering DOJ to unredact disputed Epstein records or justify each redaction.	https://clearinghouse.net/case/48180/, https://www.cbsnews.com/news/judge-orders-doj-unredact-more-epstein-files-or-explain-why-blanche/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-preska-efta-overrides-sealing-20260811	alleged	legal	administrative_mention	Bloomberg	2026-08-11	0.88	On August 11, 2026, Judge Loretta Preska ruled the Epstein Files Transparency Act overrides earlier sealing orders, grand-jury secrecy, and Ghislaine Maxwell's privacy claims, clearing additional records for release.	https://www.bloomberg.com/news/articles/2026-08-12/epstein-victim-files-cleared-for-release-over-maxwell-s-protest, https://www.spokesman.com/stories/2026/aug/11/epstein-victim-files-cleared-for-release-over-maxw/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-purported-note-unsealed-20260506	alleged	procedural	administrative_mention	Reuters / NPR	2026-05-06	0.9	A federal judge unsealed on May 6, 2026 a purported note that Nicholas Tartaglione says he found in July 2019; the court did not assess its authenticity.	https://www.npr.org/2026/05/07/nx-s1-5814808/jeffrey-epstein-suicide-note, https://www.usnews.com/news/us/articles/2026-05-06/new-york-judge-releases-purported-epstein-suicide-note	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-siad-found-dead-20260720	alleged	timeline	media_reference	CNN / Al Jazeera	2026-07-20	0.9	French model scout Daniel Siad, who was under French investigation over alleged recruitment for Epstein, was found dead at his home near Paris on July 20, 2026; the cause of death was under investigation.	https://www.aljazeera.com/news/2026/7/22/french-model-recruiter-with-close-ties-to-jeffrey-epstein-found-dead, https://www.cnn.com/2026/07/22/europe/model-recruiter-epstein-dead-france-intl	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-starmer-resignation-20260622	alleged	timeline	media_reference	CNN / Al Jazeera	2026-06-22	0.93	UK Prime Minister Keir Starmer announced his resignation on June 22, 2026 amid fallout over his appointment of Peter Mandelson as ambassador.	https://www.aljazeera.com/news/2026/6/22/why-has-keir-starmer-resigned-as-uk-prime-minister-and-who-will-take-over, https://www.cnn.com/2026/06/22/world/live-news/keir-starmer-uk-pm	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-sullivan-jane-doe4-notes-20260916	alleged	procedural	media_reference	MS NOW / Daily Beast	2026-09-16	0.87	On September 16, 2026 Judge Emmet Sullivan ordered DOJ to give the court, for private review, redacted and unredacted handwritten notes from four 2019 FBI interviews of a woman identified as Jane Doe 4 by 11 a.m. on September 24, and declined to stay the order pending appeal.	https://www.ms.now/news/judge-rules-todd-blanche-must-turn-over-notes-from-fbi-interview-with-trump-accuser, https://www.thedailybeast.com/reagan-judge-foils-desperate-bid-to-hide-trump-accusers-interviews/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-sullivan-sept24-deadline-20260916	alleged	legal	administrative_mention	The Hill	2026-09-16	0.88	On September 16, 2026, Judge Sullivan set a September 24 deadline for DOJ to produce disputed Epstein records or explain why his orders were not clear, and said a contempt finding would be premature at that juncture.	https://thehill.com/regulation/court-battles/6095691-doj-epstein-transparency-ruling/, https://www.newsweek.com/reagan-appointed-judge-issues-epstein-files-deadline-to-trumps-doj-12457462	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-survivors-sue-doj-google-20260326	alleged	procedural	media_reference	CNN / CBS / NBC	2026-03-26	0.88	Epstein survivors filed a proposed class action in the Northern District of California on March 26, 2026 against DOJ and Google, alleging the file releases exposed about 100 survivors' personal information and that Google kept republishing it.	https://www.cnn.com/2026/03/27/us/epstein-survivors-sue-doj-google-hnk, https://www.nbcnews.com/politics/justice-department/epstein-survivors-sue-trump-administration-google-release-private-info-rcna265408	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-wasserman-agency-sale	alleged	procedural	media_reference	AP	2026-02-14	0.92	AP reported Casey Wasserman planned to sell his talent agency after publication of emails involving Ghislaine Maxwell.	https://apnews.com/article/jeffrey-epstein-casey-wasserman-ghislaine-maxwell-olympics-02bc53aa1b6fa6fecac47e3a31a29ef1	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-wsj-executors-sdny-probe-20260923	alleged	factual	media_reference	Wall Street Journal (via CNBC/Forbes)	2026-09-23	0.8	The Wall Street Journal reported on September 23, 2026 that federal prosecutors in Manhattan are investigating Epstein estate executors Darren Indyke and Richard Kahn; both deny wrongdoing and no charges have been filed.	https://www.cnbc.com/2026/09/23/jeffrey-epstein-estate-executors-investigation.html, https://www.forbes.com/sites/alisondurkee/2026/09/23/doj-investigating-executors-of-epsteins-estate-report-says/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-yale-gelernter-review-2026	alleged	timeline	media_reference	CNBC / Yale Daily News	2026-02-11	0.85	Yale University barred computer science professor David Gelernter from teaching in February 2026 pending a conduct review of his emails with Epstein; in September 2026 Yale said the review was continuing and he would not teach in the fall.	https://www.cnbc.com/2026/02/11/epstein-files-yale-david-gelernter-classeds.html, https://yaledailynews.com/articles/gelernter-will-not-teach-this-fall-as-review-on-epstein-ties-continues	No tier-1 evidence_type link (primary/transcript/filing/release).
